# Native language names
# extracted from http://td.unfoldingword.org/exports/langnames.json

aa	Afaraf
aaa	Ghotuo
aab	Alumu-Tesu
aac	Ari
aad	Amal
aae	Arbëreshë Albanian
aaf	Aranadan
aag	Ambrak
aah	Abu' Arapesh
aai	Arifama-Miniafia
aak	Ankave
aal	Afade
aan	Anambé
aao	Algerian Saharan Arabic
aap	Pará Arára
aaq	Eastern Abnaki
aas	Aasáx
aat	Arvanitika Albanian
aau	Abau
aaw	Solong
aax	Mandobo Atas
aaz	Amarasi
ab	аҧсуа бызшәа, аҧсшәа
aba	Abé
abb	Bankon
abc	Ambala Ayta
abd	Manide
abe	Western Abnaki
abf	Abai Sungai
abg	Abaga
abh	Tajiki Arabic
abi	Abidji
abl	Lampung Nyo
abm	Abanyom
abn	Abua
abo	Abon
abp	Abellen Ayta
abq	Abaza
abr	Abron
abs	Ambonese Malay
abt	Ambulas
abu	Abure
abv	Baharna Arabic
abw	Pal
abx	Inabaknon
aby	Aneme Wake
abz	Abui
aca	Achagua
acb	Áncá
acd	Gikyode
ace	Achinese
acf	Saint Lucian Creole French
ach	Acoli
acm	Mesopotamian Arabic
acn	Achang
acp	Eastern Acipa
acq	Ta'izzi-Adeni Arabic
acr	Achi
act	Achterhoeks
acu	Achuar-Shiwiar
acv	Achumawi
acw	Hijazi Arabic
acx	Omani Arabic
acy	Cypriot Arabic
acz	Acheron
ada	Adangme
adb	Adabe
add	Dzodinka
ade	Adele
adf	Dhofari Arabic
adg	Andegerebinha
adh	Adhola
adi	Adi
adj	Adioukrou
adl	Galo
adn	Adang
ado	Abu
adq	Adangbe
adr	Adonara
ads	Adamorobe Sign Language
adt	Adnyamathanha
adu	Aduge
adw	Amundava
adx	Amdo Tibetan
ady	Adyghe
adz	Adzera
aeb	Tunisian Arabic
aec	Saidi Arabic
aed	Argentine Sign Language
aee	Northeast Pashai
aek	Haeke
ael	Ambele
aem	Arem
aen	Armenian Sign Language
aeq	Aer
aer	Eastern Arrernte
aes	Alsea
aeu	Akeu
aew	Ambakich
aey	Amele
aez	Aeka
af	Afrikaans
afb	Gulf Arabic
afd	Andai
afe	Putukwam
afg	Afghan Sign Language
afh	Afrihili
afi	Akrukay
afk	Nanubae
afn	Defaka
afo	Eloyi
afp	Tapei
afs	Afro-Seminole Creole
aft	Afitti
afu	Awutu
afz	Obokuitai
aga	Aguano
agb	Legbo
agc	Agatu
agd	Agarabi
age	Angal
agf	Arguni
agg	Angor
agh	Ngelima
agi	Agariya
agj	Argobba
agk	Isarog Agta
agl	Fembe
agm	Angaataha
agn	Agutaynen
ago	Tainae
agq	Aghem
agr	Aguaruna
ags	Esimbi
agt	Central Cagayan Agta
agu	Aguacateco
agv	Remontado Dumagat
agw	Kahua
agx	Aghul
agy	Southern Alta
agz	Mt. Iriga Agta
aha	Ahanta
ahb	Axamb
ahg	Qimant
ahh	Aghu
ahi	Tiagbamrin Aizi
ahk	Akha
ahl	Igo
ahm	Mobumrin Aizi
ahn	Àhàn
aho	Ahom
ahp	Aproumu Aizi
ahr	Ahirani
ahs	Ashe
aht	Ahtena
aia	Arosi
aib	Ainu (China)
aic	Ainbai
aie	Amara
aif	Agi
aig	Antigua and Barbuda Creole English
aih	Ai-Cham
aii	Assyrian Neo-Aramaic
aij	Lishanid Noshan
aik	Ake
ail	Aimele
aim	Aimol
ain	Ainu (Japan)
aio	Aiton
aip	Burumakok
aiq	Aimaq
air	Airoran
ais	Nataoran Amis
aiw	Aari
aix	Aighon
aiy	Ali
aja	Aja (Sudan)
ajg	Aja (Benin)
aji	Ajië
ajn	Andajin
ajp	South Levantine Arabic
ajt	Judeo-Tunisian Arabic
aju	Judeo-Moroccan Arabic
ajz	Amri Karbi
ak	Akan
akb	Batak Angkola
akc	Mpur
akd	Ukpet-Ehom
ake	Akawaio
akf	Akpa
akg	Anakalangu
akh	Angal Heneng
aki	Aiome
akk	Akkadian
akl	Aklanon
ako	Akurio
akp	Siwu
akq	Ak
akr	Araki
aks	Akaselem
akt	Akolet
aku	Akum
akv	Akhvakh
akw	Akwa
akz	Alabama
ala	Alago
alc	Qawasqar
ald	Alladian
ale	Aleut
alf	Alege
alh	Alawa
ali	Amaimon
alj	Alangan
alk	Alak
all	Allar
alm	Amblong
aln	Gheg Albanian
alo	Larike-Wakasihu
alp	Alune
alq	Algonquin
alr	Alutor
als	Tosk Albanian
alt	Southern Altai
alu	'Are'are
alw	Alaba-K’abeena
alx	Amol
aly	Alyawarr
alz	Alur
am	አማርኛ
ama	Amanayé
amb	Ambo
amc	Amahuaca
ame	Yanesha'
amf	Hamer-Banna
amg	Amurdak
ami	Amis
amj	Amdang
amk	Ambai
aml	War-Jaintia
amm	Ama (Papua New Guinea)
amn	Amanab
amo	Amo
amp	Alamblak
amq	Amahai
amr	Amarakaeri
ams	Southern Amami-Oshima
amt	Amto
amu	Guerrero Amuzgo
amv	Ambelau
amw	Western Neo-Aramaic
amx	Anmatyerre
amy	Ami
an	aragonés
ana	Andaqui
anc	Ngas
and	Ansus
ane	Xârâcùù
anf	Animere
ang	Old English (ca. 450-1100)
anh	Nend
ani	Andi
anj	Anor
ank	Goemai
anl	Anu-Hkongso Chin
anm	Anal
ann	Obolo
ano	Andoque
anp	Angika
anq	Jarawa (India)
anr	Andh
ant	Antakarinya
anu	Anuak
anv	Denya
anw	Anaang
anx	Andra-Hus
any	Anyin
anz	Anem
aoa	Angolar
aob	Abom
aoc	Pemon
aod	Andarum
aoe	Angal Enen
aof	Bragat
aog	Angoram
aoi	Anindilyakwa
aoj	Mufian
aok	Arhö
aol	Alor
aom	Ömie
aon	Bumbita Arapesh
aos	Taikat
aot	Atong
aou	A'ou
aox	Atorada
aoz	Uab Meto
apb	Sa'a
apc	North Levantine Arabic
apd	Sudanese Arabic
ape	Bukiyip
apf	Pahanan Agta
apg	Ampanang
aph	Athpariya
api	Apiaká
apj	Jicarilla Apache
apk	Kiowa Apache
apl	Lipan Apache
apm	Mescalero-Chiricahua Apache
apn	Apinayé
apo	Ambul
app	Apma
apr	Arop-Lokep
aps	Arop-Sissano
apt	Apatani
apu	Apurinã
apv	Alapmunte
apw	Western Apache
apx	Aputai
apy	Apalaí
apz	Safeyoka
aqc	Archi
aqd	Ampari Dogon
aqg	Arigidi
aqm	Atohwaim
aqn	Northern Alta
aqp	Atakapa
aqr	Arhâ
aqt	Angaité
aqz	Akuntsu
ar	العربية
ar-x-dcv	العربية Dominant Culture Variant
arb	Standard Arabic
arc	Official Aramaic (700-300 BCE)
ard	Arabana
are	Western Arrarnta
arh	Arhuaco
ari	Arikara
arj	Arapaso
ark	Arikapú
arl	Arabela
arn	Mapudungun
aro	Araona
arp	Arapaho
arq	Algerian Arabic
arr	Karo (Brazil)
ars	Najdi Arabic
aru	Aruá (Amazonas State)
arv	Arbore
